Timestamp,Language / Выберите язык,"1. How often do you use AI-powered applications (e.g. ChatGPT, Midjourney, Google Gemini, etc.)?",2. Which of the following AI tools have you used or are familiar with?,3. In which areas do you use AI applications?,4. What specific tasks do you most often use AI for?,5. How much do you trust the results provided by AI tools?,6. What concerns or risks do you associate with AI usage?,7. You would be more likely to use AI tools if…,8. Please select your age group,"1. Как часто вы используете приложения на основе Искусственного Интеллекта (например, ChatGPT, Midjourney, Google Gemini и т.д.)?", 2. С какими ИИ-сервисами вы знакомы или когда-либо использовали?,3. В каких сферах вы используете ИИ-приложения?,4. Для каких конкретных задач вы чаще всего используете ИИ?,"5. Насколько вы доверяете результатам, полученным от ИИ-приложений?",6. Какие риски или опасения у вас вызывает использование ИИ?,"7. Вы бы хотели использовать ИИ чаще, если бы…",8. Выберите Вашу возрастную категорию
22/05/2025 15:18:23,Русский,,,,,,,,,Ежедневно,"ChatGPT (OpenAI), Gemini (Google), Midjourney (генерация изображений), Suno (генерация музыки)","Работа, Учёба, Творчество (тексты, музыка, изображения), Программирование / анализ данных, Поиск информации","Генерация текстов (статей, писем, постов), Переводы и проверка грамматики, Генерация изображений / видео, Краткие резюме текстов, Поиск идей или вдохновения, Программирование / генерация кода",8,"Неправильная / недостоверная информация, Нарушение конфиденциальности, Зависимость от технологий, Потеря рабочих мест, Моральные / этические вопросы","Были бесплатные или более дешёвые версии, Результаты работы ИИ были бы неотличимы от работы выполненной человеком",31 - 40
22/05/2025 15:20:25,Русский,,,,,,,,,Несколько раз в неделю,"ChatGPT (OpenAI), Midjourney (генерация изображений)","Работа, Общение / развлечения, Поиск информации, Личностное развитие","Генерация текстов (статей, писем, постов), Переводы и проверка грамматики, Генерация изображений / видео, Краткие резюме текстов, Поиск идей или вдохновения, Чат / поддержка / имитация общения",7,"Неправильная / недостоверная информация, Нарушение конфиденциальности",Не хочу использовать ИИ чаще,31 - 40
22/05/2025 15:23:49,Русский,,,,,,,,,Редко,"ChatGPT (OpenAI), Deepseek, Midjourney (генерация изображений)","Работа, Творчество (тексты, музыка, изображения), Общение / развлечения","Генерация текстов (статей, писем, постов), Генерация изображений / видео",6,"Неправильная / недостоверная информация, Потеря рабочих мест","Было больше информации / обучения, Был понятный пользовательский интерфейс, Были бесплатные или более дешёвые версии",31 - 40
22/05/2025 15:34:48,Русский,,,,,,,,,Никогда,Не использую,Не использую,Я не использую ИИ для таких задач,6,"Неправильная / недостоверная информация, Зависимость от технологий, Потеря рабочих мест",Результаты работы ИИ были бы неотличимы от работы выполненной человеком,31 - 40
22/05/2025 16:13:51,Русский,,,,,,,,,Никогда,"ChatGPT (OpenAI), Gemini (Google), Copilot (Microsoft), Deepseek",Не использую,Я не использую ИИ для таких задач,7,Нет особых опасений,"Было больше информации / обучения, Был понятный пользовательский интерфейс, Были бесплатные или более дешёвые версии, Можно было бы использовать на родном языке",41 - 50
22/05/2025 16:41:54,Русский,,,,,,,,,Ежедневно,"ChatGPT (OpenAI), Copilot (Microsoft)","Учёба, Поиск информации","Генерация текстов (статей, писем, постов), Переводы и проверка грамматики, Краткие резюме текстов, Чат / поддержка / имитация общения",7,"Неправильная / недостоверная информация, Нарушение конфиденциальности, Зависимость от технологий",Не хочу использовать ИИ чаще,31 - 40
22/05/2025 16:45:09,Русский,,,,,,,,,Ежедневно,"ChatGPT (OpenAI), Gemini (Google), Copilot (Microsoft), Locally deployed models like SD","Работа, Учёба, Творчество (тексты, музыка, изображения), Программирование / анализ данных, Поиск информации","Генерация изображений / видео, Поиск идей или вдохновения, Программирование / генерация кода",6,Неправильная / недостоверная информация,Были бесплатные или более дешёвые версии,31 - 40
22/05/2025 17:26:23,Русский,,,,,,,,,Ежедневно,"ChatGPT (OpenAI), Grammarly / DeepL Write / другие ИИ для текстов","Учёба, Творчество (тексты, музыка, изображения), Поиск информации, Личностное развитие","Генерация текстов (статей, писем, постов), Переводы и проверка грамматики, Генерация изображений / видео, Краткие резюме текстов, Поиск идей или вдохновения",7,"Неправильная / недостоверная информация, Зависимость от технологий","Было больше информации / обучения, Были бесплатные или более дешёвые версии",22 - 30
22/05/2025 17:41:49,Русский,,,,,,,,,Несколько раз в неделю,"ChatGPT (OpenAI), Gemini (Google), Copilot (Microsoft)","Учёба, Поиск информации","Генерация текстов (статей, писем, постов), Поиск идей или вдохновения",7,"Неправильная / недостоверная информация, Зависимость от технологий","Было больше информации / обучения, Был понятный пользовательский интерфейс, Были бесплатные или более дешёвые версии",41 - 50
22/05/2025 20:30:15,Русский,,,,,,,,,Ежедневно,"ChatGPT (OpenAI), Copilot (Microsoft)","Учёба, Программирование / анализ данных, Поиск информации",Программирование / генерация кода,8,Зависимость от технологий,Результаты работы ИИ были бы неотличимы от работы выполненной человеком,31 - 40
22/05/2025 22:18:19,Русский,,,,,,,,,Ежедневно,ChatGPT (OpenAI),"Учёба, Поиск информации, Личностное развитие","Генерация текстов (статей, писем, постов), Переводы и проверка грамматики",7,"Неправильная / недостоверная информация, Зависимость от технологий","Были бесплатные или более дешёвые версии, Не хочу использовать ИИ чаще",31 - 40
22/05/2025 22:43:49,Русский,,,,,,,,,Ежедневно,"ChatGPT (OpenAI), Gemini (Google), Grammarly / DeepL Write / другие ИИ для текстов","Работа, Учёба, Творчество (тексты, музыка, изображения), Общение / развлечения, Поиск информации, Личностное развитие","Генерация текстов (статей, писем, постов), Переводы и проверка грамматики, Поиск идей или вдохновения, Чат / поддержка / имитация общения",10,"Зависимость от технологий, Потеря рабочих мест",Были бесплатные или более дешёвые версии,<= 21
22/05/2025 23:02:46,Русский,,,,,,,,,Редко,ChatGPT (OpenAI),Общение / развлечения,Переводы и проверка грамматики,8,Нет особых опасений,Был понятный пользовательский интерфейс,31 - 40
22/05/2025 23:05:56,Русский,,,,,,,,,Ежедневно,ChatGPT (OpenAI),"Работа, Учёба, Общение / развлечения, Поиск информации, Личностное развитие","Генерация текстов (статей, писем, постов), Переводы и проверка грамматики, Поиск идей или вдохновения, Чат / поддержка / имитация общения",8,"Неправильная / недостоверная информация, Нарушение конфиденциальности, Зависимость от технологий, Моральные / этические вопросы",Не хочу использовать ИИ чаще,41 - 50
